cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions,uncover_train,conflict_train,uncover_test,conflict_test
<<<<<<< HEAD
0.42879941484968587,0.5202020202020202,0.9490014350517061,0.41187418762317146,0.20454545454545456,0.616419642168626,46.71383950000018,4,0.19696969696969696,0.0880503144654088,0.25,0.030303030303030304
0.5007660269820897,0.441025641025641,0.9417916680077307,0.45749225185013775,0.1590909090909091,0.6165831609410468,82.57778870000038,4,0.31794871794871793,0.08270676691729323,0.3181818181818182,0.2
0.3852996590834167,0.46153846153846156,0.8468381206218782,0.3824604185031464,0.34146341463414637,0.7239238331372928,45.69938389999879,4,0.17435897435897435,0.16770186335403728,0.21951219512195122,0.21875
0.4198927308444062,0.5,0.9198927308444063,0.44528698810225453,0.29545454545454547,0.7407415335568,61.51538359999904,4,0.17857142857142858,0.13664596273291926,0.1590909090909091,0.10810810810810811
0.3885679296821918,0.5024875621890548,0.8910554918712466,0.3770401257168395,0.4523809523809524,0.8294210780977919,47.19326149999688,4,0.208955223880597,0.0440251572327044,0.14285714285714285,0.08333333333333333
=======
0.41436132025663436,0.494949494949495,0.9093108152061293,0.4163710087906616,0.18181818181818182,0.5981891906088435,621.114877999993,8,0.10606060606060606,0.1864406779661017,0.20454545454545456,0.2857142857142857
0.495977430710386,0.48205128205128206,0.978028712761668,0.45221181696833335,0.22727272727272727,0.6794845442410606,666.70519600017,8,0.2,0.0,0.22727272727272727,0.0
0.3713686175923627,0.4358974358974359,0.8072660534897986,0.3680033641731027,0.24390243902439024,0.6119058031974929,624.3161907000467,8,0.06666666666666667,0.32967032967032966,0.14634146341463414,0.34285714285714286
0.4328629768333308,0.4489795918367347,0.8818425686700655,0.4314663694997602,0.2727272727272727,0.704193642227033,676.705666600028,8,0.09693877551020408,0.3220338983050847,0.06818181818181818,0.43902439024390244
0.381641566662515,0.47761194029850745,0.8592535069610224,0.38234523780083807,0.42857142857142855,0.8109166663722667,664.5119270000141,8,0.10945273631840796,0.2569832402234637,0.09523809523809523,0.2894736842105263
>>>>>>> 63e608e77d71382da42976a456eb0c144497e465
