cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
<<<<<<< HEAD
0.001417232783487437,0.9949494949494949,0.9963667277329824,0.012755095051386934,0.9545454545454546,0.9673005495968415,1487.6026754999984,4
0.0,1.0,1.0,0.0,1.0,1.0,2291.7082445999986,2
0.4694012208744637,0.2564102564102564,0.7258114772847201,0.5277539956402743,0.0975609756097561,0.6253149712500303,1641.9955174999996,8
0.3578516979573602,0.3622448979591837,0.720096595916544,0.37010101333147477,0.3409090909090909,0.7110101042405657,1367.6156311999985,10
0.1873428174815837,0.7412935323383084,0.9286363498198922,0.2001820890578979,0.7380952380952381,0.938277327153136,1628.8967370000028,6
=======
0.20487018322530942,0.6919191919191919,0.8967893751445013,0.31223310642536195,0.5454545454545454,0.8576876518799074,98.94413760001771,10
0.055929378989250045,0.9076923076923077,0.9636216866815577,0.03456197497164211,0.9545454545454546,0.9891074295170967,133.1072233999148,6
0.1915182525561059,0.6717948717948717,0.8633131243509776,0.2243385546509886,0.5365853658536586,0.7609239205046472,127.78646460012533,10
0.046972566341934203,0.9540816326530612,1.0010541989949955,0.01917023859430233,0.9772727272727273,0.9964429658670296,103.30930189997889,5
0.018293789571157598,0.9701492537313433,0.9884430433025009,0.055877655241608745,0.9285714285714286,0.9844490838130373,114.81815409986302,6
>>>>>>> 63e608e77d71382da42976a456eb0c144497e465
